geographicAreaM49,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
262,570442068.3,552492115.9,584883799.7,613187008.1,598329404.3,631845067.6,599678179.7,627285925.8,626124012,644402677.4,648999415.2,660635943.5,682002955.5,703734441.2,724846474.5,748041561.7,843042840,885194982,929454731.1,980574741.3,1014894857,1060565126,1111472252,1167045864,1271153178,1394250832,1515861380,1577863775
212,319148349.4,324875560,333758472.8,332892158,337656889.8,344324674.5,356417578.5,365307957.9,376854089.4,379268409.9,381682730,382976323,375173320.5,403928759.1,414577665.7,413238022.3,432118617,457864882.1,493658470.6,488090578.9,493825925.9,494705066.4,489401574.9,486427790.7,507776601.7,494825744.8,507305504.5,458957921
214,18336808159,18477454818,20420008299,21894884234,22399164584,23629722415,25314828689,27341097050,29257886349,31222641040,32988782478,33585640228,35529630875,35439598456,35904566347,39230316592,43416644422,47096057099,48607607059,49067510446,53159569599,54825283783,56315088445,59060564503,63570448004,68041593505,72540645344,75842561419
218,38020869119,39652474795,40490851303,41289824101,43048048229,44017726512,44780002397,46718020342,48244078213,45957605226,46459371078,48325007475,50304775101,51674512422,55917517446,58876285669,61468899999,62815127109,66808366776,67186830557,69555367000,75028081292,79261137178,83181798259,86333447252,86418807383,85056519293,87606353192
818,81912700289,86287915315,92037638269,94690915979,98429324722,1.02915E+11,1.08182E+11,1.14123E+11,1.18715E+11,1.25968E+11,1.3275E+11,1.37428E+11,1.41806E+11,1.46222E+11,1.52247E+11,1.59056E+11,1.69941E+11,1.81986E+11,1.9501E+11,2.04124E+11,2.1463E+11,2.18418E+11,2.2328E+11,2.28157E+11,2.3481E+11,2.45076E+11,2.55728E+11,2.66421E+11
222,9758309402,10107306825,10869735090,11670782755,12376907999,13168605705,13393208006,13961929489,14485323993,14984937077,15307510698,15569106320,15933531177,16300049611,16601700385,17193145653,17865773574,18551835046,18788067885,18199435052,18447922436,18856855134,19211574326,19566338234,19845239413,20317556111,20841749058,21325277636
226,609012079.6,610975315.3,692220553.4,757858067.5,828943725.5,925959185.7,1246357145,2433663819,2864003946,3528491116,3990376268,6696558902,8047114169,9140900850,11339400400,12348607036,13003083208,14990229197,17658356452,17895571093,16298541318,17361845546,18805108380,18027859133,18102685195,16457322961,15045962903,14561447510
232,962205396.5,1075206032,1196710886,1350872234,1524892782,1843871229,1886733472,2059101672,2221770068,2265440023,2269672668,1989263238,2163431914,2228452317,2169275423,2200767540,2179437340,2210534026,1994276825,2071585005,2117039511,2300751770,2462423239,2576915621,2650823903,2719385992,2769705209,2908531481
233,15021780286,13820061358,10894540082,10269139637,10064598996,10493910623,11052590079,12356643014,12865397818,12755212507,14103192839,14995743120,15906943668,17086628586,18162188529,19901613473,21945884141,23646293461,22364793017,19071710561,19502554977,20984222627,21888067442,22311939377,22956913056,23341277580,23822869474,24979264155
748,2407867271,2450252084,2529315656,2607867902,2670477503,2799350869,2906903980,2997091946,3075145493,3165894478,3134710700,3167774529,3306526190,3434826469,3559301637,3772781744,3998912664,4176290587,4210521414,4276519486,4438739895,4538437179,4752639174,5057734388,5155370043,5175597350,5246392925,5351353624
231,8739768271,8108940939,7386646830,8373731505,8665675859,9196105758,10440583743,10737142579,10302785954,10834657935,11492631591,12446684390,12635198246,12362140996,14040021151,15699346823,17400347830,19393711997,21486033406,23377319015,26311297202,29772637435,32347322889,35770395146,39441773500,43538281158,46830546660,52035132545
230,10021940217,9350886764,8579786511,9724603738,,,,,,,,,,,,,,,,,,,,,,,,
242,2186233225,2127813838,2210949120,2249146411,2363852882,2422949169,2539250752,2483387216,2515671299,2737050324,2690520508,2744330904,2832149507,2860470958,3012075928,3033160471,3089349256,3061545112,3092160563,3048870316,3140336425,3225125508,3270642151,3425481557,3617428923,3756497602,3781172414,3895483132
246,1.67117E+11,1.57233E+11,1.52006E+11,1.50889E+11,1.56833E+11,1.63434E+11,1.69414E+11,1.80005E+11,1.89777E+11,1.98211E+11,2.0938E+11,2.14783E+11,2.18392E+11,2.22747E+11,2.31492E+11,2.37928E+11,2.47576E+11,2.60412E+11,2.62289E+11,2.406E+11,2.478E+11,2.5417E+11,2.50545E+11,2.48646E+11,2.47075E+11,2.47409E+11,2.53539E+11,2.60631E+11
530,2992640740,3046508181,3143964759,3287742858,3466891076,3521612226,3570538974,3614181379,3501644782,3438321033,3369039174,3416518838,3430184913,3488498057,3530360034,3569193994,3651285456,3790034303,3865834989,3858103319,3847834828,3854037309,3863588619,,,,,
250,1.89406E+12,1.91391E+12,1.94452E+12,1.9323E+12,1.97787E+12,2.01954E+12,2.04807E+12,2.09592E+12,2.17114E+12,2.24542E+12,2.33352E+12,2.37981E+12,2.40684E+12,2.42665E+12,2.49532E+12,2.53682E+12,2.59896E+12,2.66197E+12,2.66876E+12,2.59208E+12,2.64261E+12,2.70055E+12,2.70901E+12,2.72462E+12,2.75068E+12,2.78129E+12,2.81386E+12,2.87467E+12
258,4591019250,4855777308,4876840011,4905395487,4909590035,4934120634,4976229765,5062034107,5238199035,5436202958,5713992930,5794339219,5917308882,6121352250,6256021999,6343906267,6400340650,6509468579,6509901564,6234441915,6080711980,5900592629,5845862407,5869175789,5904012543,5981638802,6070394273,6212025097
266,11083971858,11761479408,11398033622,11670133170,12309412506,12921636489,13390080597,14158452616,14577201494,13029410831,12857960819,13160569537,12924278577,13246516349,13351748678,13497855861,13076238323,13904257136,13423940779,13408226220,14358631009,15376946603,16184600108,17097238173,17834901970,18526829919,18913159245,19121395948
270,714767896.7,735347682.6,761177082.1,784104505.1,785314741,792240024.7,825898367.9,829365268.8,859675323.6,918528383.9,974876870,1031266001,1035980755,1059840876,1157445620,1146544415,1159430079,1201529907,1270433249,1352375418,1440610585,1378253294,1459050070,1528833079,1514458447,1603330619,1609833671,1683205576
268,16792627705,13210200462,7331315439,5183923848,4645773608,4765521082,5303361750,5861221913,6043211250,6216604932,6330887504,6635115248,6998310800,7772191078,8222665875,9011066902,9860006265,11100284738,11368695677,10953735956,11638284841,12478752203,13271192860,13720657749,14355047900,14768492760,15189231395,15923377953
276,2.56863E+12,2.69985E+12,2.75179E+12,2.72547E+12,2.79245E+12,2.84097E+12,2.86421E+12,2.91717E+12,2.97492E+12,3.03404E+12,3.12391E+12,3.17687E+12,3.17687E+12,3.15432E+12,3.19122E+12,3.21378E+12,3.33269E+12,3.44136E+12,3.4786E+12,3.28314E+12,3.41709E+12,3.54216E+12,3.55959E+12,3.57701E+12,3.65492E+12,3.71848E+12,3.80186E+12,3.88387E+12
288,16026231190,16872708858,17527271960,18377344651,18978137893,19741705293,20649064440,21515962582,22525868024,23523427063,24512717654,25625362629,26853750910,28256630737,29769208410,31613635456,33052650407,34489076810,37645009343,39468594099,42587418803,48568847485,53081866348,56963967900,58614464025,59891208266,61956133137,67001497691
300,1.97653E+11,2.0378E+11,2.05207E+11,2.01923E+11,2.05962E+11,2.10286E+11,2.16305E+11,2.26005E+11,2.34807E+11,2.42022E+11,2.51509E+11,2.619E+11,2.72174E+11,2.87945E+11,3.02518E+11,3.04331E+11,3.21533E+11,3.32059E+11,3.30946E+11,3.16713E+11,2.99362E+11,2.72022E+11,2.52163E+11,2.4399E+11,2.45795E+11,2.44719E+11,2.44251E+11,2.47927E+11
304,1590934412,1589129267,1507897745,1432081657,1516923470,1573484678,1597553277,1621020162,1746778593,1770847192,1896605623,1920674223,1902021058,1894800478,2025666443,2126696390,2244849153,2297657837,2439334468,2460457942,2503167187,2490738477,2525464187,2492676573,2609993643,2543973898,2695483257,2722100968
308,451273131.1,461638430.6,460270029.8,448120443.1,460459019.8,470264385.2,491135809.2,515768730.2,576389594.9,616151038.7,646269487.7,633191348.6,654933498.2,716936606.8,712296639.1,806820583.5,774624134.8,822054459.8,829856175.5,774628241,771014814.8,776927694,766990772,785870923.9,843685743,898071515.6,931620008.9,978752657
320,19885627352,20613093068,21610425098,22459330656,23365142806,24522634627,25244233684,26329565599,27585030626,28728442465,29765081111,30459106871,31636846396,32437509036,33459966640,34550799141,36409553084,38704833173,39974769422,40185053907,41338158765,43058673835,44337454919,45976870235,47896021052,49878938398,51421435624,52840841300
324,3404945349,3489951253,3604159986,3786115856,3937585596,4121866463,4334425392,4559003490,4768038718,4983099991,5126856160,5316549838,5593010429,5660126555,5790309465,5964018749,5945196027,6350507448,6612974501,6538734940,6853467848,7238091610,7666363102,7968017933,8263428342,8578673992,9475497649,10256860872
