"geographicAreaM49","measuredItemParentCPC_tree","measuredItemChildCPC_tree","timePointYears","Value","flagObservationStatus","flagMethod","measuredElementSuaFbs"
"348","0113","23161.02","2015",1,"I","c","5431"
"348","0113","23161.02","2016",1,"I","c","5431"
"348","0113","23161.02","2017",1,"I","c","5431"
"348","0113","23161.02","2018",1,"I","c","5431"
"348","0113","23161.02","2019",1,"I","c","5431"
"348","0115","23140.04","2000",0.00574550821267111,"I","c","5431"
"348","0115","23140.04","2001",0.00383553084719862,"I","c","5431"
"348","0115","23140.04","2002",0.0043593500584867,"I","c","5431"
"348","0115","23140.04","2003",0.0060653392003264,"I","c","5431"
"348","0115","23140.04","2004",0.00268843474702796,"I","c","5431"
"348","0115","23140.04","2005",0.0215547565146375,"I","c","5431"
"348","0115","23140.04","2006",0.00610871066420009,"I","c","5431"
"348","0115","23140.04","2007",0.00638965212962824,"I","c","5431"
"348","0115","23140.04","2008",0.00357425270772685,"I","c","5431"
"348","0115","23140.04","2009",0.0051613762769672,"I","c","5431"
"348","0115","23140.04","2010",0.0220562271860754,"I","c","5431"
"348","0115","23140.04","2011",0.0258423230631064,"I","c","5431"
"348","0115","23140.04","2012",0.024783260986521,"I","c","5431"
"348","0115","23140.04","2013",0.0271330846501002,"I","c","5431"
"348","0115","23140.04","2014",0.0213287454353723,"I","c","5431"
"348","0115","23140.04","2015",0.028444564441338,"I","c","5431"
"348","0115","23140.04","2016",0.0316115978626204,"I","c","5431"
"348","0115","23140.04","2017",0.0355581569188197,"I","c","5431"
"348","0115","23140.04","2018",0.031871439740926,"I","c","5431"
"348","0115","23140.04","2019",0.0330137315074554,"I","c","5431"
"348","0115","2413","2000",0.0767789977262357,"I","c","5431"
"348","0115","2413","2001",0.0634369313052904,"I","c","5431"
"348","0115","2413","2002",0.0835970090460612,"I","c","5431"
"348","0115","2413","2003",0.0829720751113902,"I","c","5431"
"348","0115","2413","2004",0.0728641612151623,"I","c","5431"
"348","0115","2413","2005",0.162111999010627,"I","c","5431"
"348","0115","2413","2006",0.10365342272627,"I","c","5431"
"348","0115","2413","2007",0.102355185050893,"I","c","5431"
"348","0115","2413","2008",0.080794010692157,"I","c","5431"
"348","0115","2413","2009",0.0838847329851459,"I","c","5431"
"348","0115","2413","2010",0.102363946175071,"I","c","5431"
"348","0115","2413","2011",0.11694647211813,"I","c","5431"
"348","0115","2413","2012",0.112563706559566,"I","c","5431"
"348","0115","2413","2013",0.113019226923809,"I","c","5431"
"348","0115","2413","2014",0.112333523254677,"I","c","5431"
"348","0115","2413","2015",0.110951676509415,"I","c","5431"
"348","0115","2413","2016",0.113214452397671,"I","c","5431"
"348","0115","2413","2017",0.136511500796241,"I","c","5431"
"348","0115","2413","2018",0.120225876567776,"I","c","5431"
"348","0115","2413","2019",0.123317276587229,"I","c","5431"
"348","0115","24320","2000",0.917475494061093,"I","c","5431"
"348","0115","24320","2001",0.932727537847511,"I","c","5431"
"348","0115","24320","2002",0.912043640895452,"I","c","5431"
"348","0115","24320","2003",0.910962585688283,"I","c","5431"
"348","0115","24320","2004",0.92444740403781,"I","c","5431"
"348","0115","24320","2005",0.816333244474736,"I","c","5431"
"348","0115","24320","2006",0.89023786660953,"I","c","5431"
"348","0115","24320","2007",0.891255162819479,"I","c","5431"
"348","0115","24320","2008",0.915631736600116,"I","c","5431"
"348","0115","24320","2009",0.910953890737887,"I","c","5431"
"348","0115","24320","2010",0.875579826638853,"I","c","5431"
"348","0115","24320","2011",0.857211204818764,"I","c","5431"
"348","0115","24320","2012",0.862653032453913,"I","c","5431"
"348","0115","24320","2013",0.859847688426091,"I","c","5431"
"348","0115","24320","2014",0.866337731309951,"I","c","5431"
"348","0115","24320","2015",0.860603759049247,"I","c","5431"
"348","0115","24320","2016",0.855173949739709,"I","c","5431"
"348","0115","24320","2017",0.82793034228494,"I","c","5431"
"348","0115","24320","2018",0.847902683691298,"I","c","5431"
"348","0115","24320","2019",0.843668991905316,"I","c","5431"
"348","0116","23120.04","2000",1,"I","c","5431"
"348","0116","23120.04","2001",1,"I","c","5431"
"348","0116","23120.04","2002",1,"I","c","5431"
"348","0116","23120.04","2003",1,"I","c","5431"
"348","0116","23120.04","2004",1,"I","c","5431"
"348","0116","23120.04","2005",1,"I","c","5431"
"348","0116","23120.04","2006",1,"I","c","5431"
"348","0116","23120.04","2007",1,"I","c","5431"
"348","0116","23120.04","2008",1,"I","c","5431"
"348","0116","23120.04","2009",1,"I","c","5431"
"348","0116","23120.04","2010",1,"I","c","5431"
"348","0116","23120.04","2011",1,"I","c","5431"
"348","0116","23120.04","2012",1,"I","c","5431"
"348","0116","23120.04","2013",1,"I","c","5431"
"348","0116","23120.04","2014",1,"I","c","5431"
"348","0116","23120.04","2015",1,"I","c","5431"
"348","0116","23120.04","2016",1,"I","c","5431"
"348","0116","23120.04","2017",1,"I","c","5431"
"348","0116","23120.04","2018",1,"I","c","5431"
"348","0116","23120.04","2019",1,"I","c","5431"
"348","0117","23140.07","2000",1,"I","c","5431"
"348","0117","23140.07","2001",1,"I","c","5431"
"348","0117","23140.07","2002",1,"I","c","5431"
"348","0117","23140.07","2003",1,"I","c","5431"
"348","0117","23140.07","2004",1,"I","c","5431"
"348","0117","23140.07","2005",1,"I","c","5431"
"348","0117","23140.07","2006",1,"I","c","5431"
"348","0117","23140.07","2007",1,"I","c","5431"
"348","0117","23140.07","2008",1,"I","c","5431"
"348","0117","23140.07","2009",1,"I","c","5431"
"348","0117","23140.07","2010",1,"I","c","5431"
"348","0117","23140.07","2011",1,"I","c","5431"
"348","0117","23140.07","2012",1,"I","c","5431"
"348","0117","23140.07","2013",1,"I","c","5431"
"348","0117","23140.07","2014",1,"I","c","5431"
"348","0117","23140.07","2015",1,"I","c","5431"
"348","0117","23140.07","2016",1,"I","c","5431"
"348","0117","23140.07","2017",1,"I","c","5431"
"348","0117","23140.07","2018",1,"I","c","5431"
"348","0117","23140.07","2019",1,"I","c","5431"
"348","01191","23120.09","2000",0,"I","c","5431"
"348","01191","23120.09","2001",1,"I","c","5431"
"348","01191","23120.09","2002",1,"I","c","5431"
"348","01191","23120.09","2003",1,"I","c","5431"
"348","01191","23120.09","2004",1,"I","c","5431"
"348","01191","23120.09","2005",1,"I","c","5431"
"348","01191","23120.09","2006",1,"I","c","5431"
"348","01191","23120.09","2007",1,"I","c","5431"
"348","01191","23120.09","2008",1,"I","c","5431"
"348","01191","23120.09","2009",1,"I","c","5431"
"348","01191","23120.09","2010",1,"I","c","5431"
"348","01191","23120.09","2011",1,"I","c","5431"
"348","01191","23120.09","2012",1,"I","c","5431"
"348","01191","23120.09","2013",1,"I","c","5431"
"348","01191","23120.09","2014",1,"I","c","5431"
"348","01191","23120.09","2015",1,"I","c","5431"
"348","01191","23120.09","2016",1,"I","c","5431"
"348","01191","23120.09","2017",1,"I","c","5431"
"348","01191","23120.09","2018",1,"I","c","5431"
"348","01191","23120.09","2019",1,"I","c","5431"
"348","01195","23120.90","2000",1,"I","c","5431"
"348","01195","23120.90","2001",1,"I","c","5431"
"348","01195","23120.90","2002",1,"I","c","5431"
"348","01195","23120.90","2003",1,"I","c","5431"
"348","01195","23120.90","2004",0,"I","c","5431"
"348","01195","23120.90","2005",0,"I","c","5431"
"348","01195","23120.90","2006",0,"I","c","5431"
"348","01195","23120.90","2007",0,"I","c","5431"
"348","01195","23120.90","2008",0,"I","c","5431"
"348","01195","23120.90","2009",0,"I","c","5431"
"348","01195","23120.90","2010",0,"I","c","5431"
"348","01195","23120.90","2011",0,"I","c","5431"
"348","01195","23120.90","2012",0,"I","c","5431"
"348","01195","23120.90","2013",0,"I","c","5431"
"348","01195","23120.90","2014",0,"I","c","5431"
"348","01195","23120.90","2015",0,"I","c","5431"
"348","01195","23120.90","2016",0,"I","c","5431"
"348","01195","23120.90","2017",0,"I","c","5431"
"348","01195","23120.90","2018",1,"I","c","5431"
"348","01195","23120.90","2019",1,"I","c","5431"
"348","01199.90","23120.90","2000",0,"I","c","5431"
"348","01199.90","23120.90","2001",0,"I","c","5431"
"348","01199.90","23120.90","2002",0,"I","c","5431"
"348","01199.90","23120.90","2003",1,"I","c","5431"
"348","01199.90","23120.90","2004",0,"I","c","5431"
"348","01199.90","23120.90","2005",0,"I","c","5431"
"348","01199.90","23120.90","2006",0,"I","c","5431"
"348","01199.90","23120.90","2007",0,"I","c","5431"
"348","01199.90","23120.90","2008",0,"I","c","5431"
"348","01199.90","23120.90","2009",0,"I","c","5431"
"348","01199.90","23120.90","2010",0,"I","c","5431"
"348","01199.90","23120.90","2011",0,"I","c","5431"
"348","01199.90","23120.90","2012",0,"I","c","5431"
"348","01199.90","23120.90","2013",0,"I","c","5431"
"348","01199.90","23120.90","2014",0,"I","c","5431"
"348","01199.90","23120.90","2015",0,"I","c","5431"
"348","01199.90","23120.90","2016",0,"I","c","5431"
"348","01199.90","23120.90","2017",0,"I","c","5431"
"348","01199.90","23120.90","2018",1,"I","c","5431"
"348","01199.90","23120.90","2019",1,"I","c","5431"
"348","01212","21330.90","2000",0.0199625699308755,"I","c","5431"
"348","01212","21330.90","2001",0.0589933971629859,"I","c","5431"
"348","01212","21330.90","2002",0.0244078905527724,"I","c","5431"
"348","01212","21330.90","2003",0.0267903493033833,"I","c","5431"
"348","01212","21330.90","2004",0.0170818039759076,"I","c","5431"
"348","01212","21330.90","2005",0.00675607487600816,"I","c","5431"
"348","01212","21330.90","2006",0.0103676077660579,"I","c","5431"
